,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Lng
125,Vostok,0,RU,1580135173,75,259.98,1.38,46.49,135.88
126,Pemberton,91,CA,1580135173,97,268.5,1.82,50.32,-122.8
127,Naze,75,JP,1580135173,68,292.15,8.2,28.37,129.48
128,Narrabri,0,AU,1580135173,51,301.15,4.1,-30.32,149.78
129,Alofi,75,NU,1580135173,100,296.15,0.5,-19.06,-169.92
130,Bambous Virieux,75,MU,1580135173,78,298.15,7.07,-20.34,57.76
131,Klaksvik,78,FO,1580135174,63,277.15,5.1,62.23,-6.59
132,Nikolskoye,90,RU,1580135174,68,269.26,6.0,59.7,30.79
133,Ginir,81,ET,1580135174,84,290.55,1.45,7.13,40.7
134,Santander,40,ES,1580135174,71,287.15,0.5,43.46,-3.8
135,Hamamatsu,90,JP,1580135174,87,280.15,8.2,34.7,137.73
136,Khandyga,100,RU,1580135174,98,243.98,0.81,62.67,135.6
137,Pisco,52,PE,1580135175,30,295.93,4.6,-13.7,-76.22
138,Dikson,100,RU,1580135175,96,250.98,1.62,73.51,80.55
139,Kaitangata,91,NZ,1580135175,89,287.17,4.69,-46.28,169.85
140,Swellendam,100,ZA,1580135175,46,296.15,4.1,-34.02,20.44
141,Hermanus,100,ZA,1580135175,63,295.37,3.58,-34.42,19.23
142,Zhalantun,0,CN,1580135175,86,260.06,1.92,48.0,122.72
143,Kavaratti,0,IN,1580135176,65,300.3,1.73,10.57,72.64
144,Carupano,67,VE,1580135176,49,301.76,2.45,10.67,-63.26
145,Tuktoyaktuk,90,CA,1580135176,68,247.15,7.7,69.45,-133.04
146,Hong Kong,20,HK,1580135034,62,286.15,4.1,22.29,114.16
147,Westport,90,US,1580135176,69,278.71,4.1,41.14,-73.36
148,Esperance,0,AU,1580135177,82,293.15,4.1,-33.87,121.9
149,Caravelas,98,BR,1580135177,81,300.27,6.28,-17.71,-39.25
150,Aswan,13,EG,1580135177,19,295.28,4.22,24.09,32.91
151,Monrovia,0,LR,1580135177,64,302.92,5.46,6.3,-10.8
152,Flin Flon,90,CA,1580135178,92,264.15,3.6,54.77,-101.86
153,Kalemie,100,CD,1580135178,94,292.05,1.06,-5.95,29.19
154,Bethel,90,US,1580135014,74,278.15,4.1,41.37,-73.41
155,Artyom,7,AZ,1580135178,81,281.15,5.1,40.47,50.33
156,Boyolangu,64,ID,1580135178,90,297.97,0.22,-8.12,111.89
157,Tabou,18,CI,1580135178,65,303.51,3.33,4.42,-7.35
158,Sivaki,0,RU,1580135178,97,247.91,2.18,52.63,126.75
159,Lakselv,57,NO,1580135179,83,256.15,7.7,70.05,24.97
160,Beitbridge,4,ZW,1580135179,49,303.87,13.36,-22.22,30.0
161,Leningradskiy,99,RU,1580135179,96,251.28,3.93,69.38,178.42
